display_name_en,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28,2023-06-04,2023-06-11,2023-06-18,2023-06-25,2023-07-02,2023-07-09,2023-07-16,2023-07-23,2023-07-30,2023-08-06,2023-08-13,2023-08-20,2023-08-27,2023-09-03,2023-09-10,2023-09-17,2023-09-24,2023-10-01,2023-10-08,2023-10-15,2023-10-22,2023-10-29,2023-11-05,2023-11-12,2023-11-19,2023-11-26,2023-12-03,2023-12-10,2023-12-17,2023-12-24,2023-12-31,2024-01-07,2024-01-14,2024-01-21,2024-01-28,2024-02-04,2024-02-11,2024-02-18,2024-02-25,2024-03-03,2024-03-10,2024-03-17,2024-03-24,2024-03-31,2024-04-07,2024-04-14,2024-04-21,2024-04-28,2024-05-05,2024-05-12,2024-05-19,2024-05-26,2024-06-02,2024-06-09,2024-06-16,2024-06-23,2024-06-30,2024-07-07,2024-07-14,2024-07-21,2024-07-28,2024-08-04,2024-08-11,2024-08-18,2024-08-25,2024-09-01,2024-09-08,2024-09-15,2024-09-22,2024-09-29,2024-10-06,2024-10-13,2024-10-20,2024-10-27,2024-11-03,2024-11-10,2024-11-17,2024-11-24,2024-12-01,2024-12-08,2024-12-15,2024-12-22,2024-12-29,2025-01-05,2025-01-12,2025-01-19,2025-01-26,2025-02-02,2025-02-09,2025-02-16,2025-02-23,2025-03-02,2025-03-09,2025-03-16,2025-03-23,2025-03-30,2025-04-06,2025-04-13,2025-04-20,2025-04-27,2025-05-04,2025-05-11,2025-05-18,2025-05-25,2025-06-01,2025-06-08,2025-06-15,2025-06-22,2025-06-29,2025-07-06,2025-07-13,2025-07-20,2025-07-27,2025-08-03,2025-08-10,2025-08-17,2025-08-24,2025-08-31,2025-09-07,2025-09-14,2025-09-21,2025-09-28,2025-10-05,2025-10-12,2025-10-19,2025-10-26,2025-11-02,2025-11-09,2025-11-16,2025-11-23,2025-11-30,2025-12-07,2025-12-14,2025-12-21,2025-12-28,2026-01-04,2026-01-11,2026-01-18,2026-01-25,2026-02-01,2026-02-08,2026-02-15,2026-02-22,2026-03-01,2026-03-08,2026-03-15,2026-03-22,2026-03-29,2026-04-05,2026-04-12,2026-04-19,2026-04-26,2026-05-03
Fatih Mosque,23.69,25.32,22.24,30.62,22.87,19.48,35.35,23.34,24.42,22.56,22.72,28.37,40.19,29.76,30.64,36.12,37.86,37.08,34.05,38.98,56.04,42.2,30.82,44.83,43.29,49.1,69.92,58.2,63.76,61.26,56.87,57.47,47.9,53.76,40.87,52.52,56.03,48.53,45.8,48.72,43.66,44.94,44.83,41.72,37.88,28.5,28.67,38.15,33.56,33.54,29.63,31.09,28.1,15.85,19.74,26.05,21.41,30.75,31.61,29.58,30.58,30.97,34.19,39.33,34.62,35.1,30.36,50.58,45.17,45.63,45.7,53.76,50.58,44.97,54.13,58.4,56.15,57.51,54.06,60.21,62.48,56.98,80.0,56.14,56.54,63.69,55.43,57.06,45.69,47.03,50.8,45.53,44.09,47.58,42.14,43.7,43.6,38.13,37.88,38.75,39.12,35.39,36.45,27.1,33.99,40.33,31.05,20.81,25.83,25.73,35.0,36.51,33.27,27.64,27.36,30.39,33.09,36.57,39.78,33.0,37.19,42.69,45.19,45.97,46.79,46.66,63.79,56.89,51.02,52.17,61.1,58.49,58.07,64.89,60.09,58.77,70.23,56.65,58.89,54.24,53.39,44.62,39.3,45.05,47.23,50.45,46.57,34.92,18.47,30.74,27.05,36.03,30.99,38.16,37.44,29.95,26.1,30.39,31.62,23.67,33.39,24.46,35.62,29.46,33.48,33.92,25.74,40.16,46.46,34.99,39.28,45.28,43.74,46.31,33.8,36.89,50.03,58.87,56.19,57.02,54.31,57.08,53.77,62.28,47.49,68.1,59.5,60.73,47.16,54.73,41.37,53.42,49.59,50.55,36.13,48.45,34.22,34.45,34.63,62.0,32.0,21.75,29.26,36.0,18.81,37.16,58.14,25.18,28.68,20.33,33.78,29.85,20.84,20.47,15.4,25.1,26.78,37.66,46.46,45.01,29.0,35.34,43.94,34.58,47.71,39.42,34.92,50.43,35.06,53.03,44.7,47.12,54.7,54.29,47.89,59.03,60.88,48.49,59.99,47.92,56.89,47.69,53.48,44.98,42.53,39.86,34.57,44.44,46.27,31.85,35.3,37.21,33.64,36.74,31.6,23.1,27.46,29.1,62.93,34.53,39.5,32.21,47.22,36.53,35.01,63.71,35.94,32.33,32.22,36.73,34.22,36.99,43.07,37.68,44.52,65.22,63.71
Hagia Irene,23.29,24.88,21.85,30.09,22.47,19.14,34.74,22.94,23.99,22.18,22.32,27.88,39.5,29.25,30.11,35.5,37.21,36.44,33.46,38.31,55.07,41.47,30.29,44.06,42.54,48.25,68.71,57.19,62.66,60.2,55.89,56.48,47.07,52.83,40.16,51.62,55.06,47.69,45.01,47.88,42.91,44.17,44.06,41.0,37.23,28.01,28.18,37.49,32.98,32.97,29.12,30.55,27.62,15.57,19.4,25.6,21.04,30.22,31.06,29.07,30.05,30.43,33.6,38.65,34.03,34.49,29.83,49.7,44.39,44.84,44.91,52.83,49.71,44.2,53.2,57.39,55.18,56.51,53.13,59.17,61.4,55.99,78.62,55.17,55.56,62.59,54.47,56.08,44.9,46.22,49.92,44.75,43.33,46.76,41.42,42.95,42.84,37.47,37.22,38.08,38.44,34.78,35.82,26.64,33.4,39.63,30.51,20.45,25.38,25.28,34.4,35.88,32.7,27.16,26.89,29.87,32.52,35.94,39.1,32.43,36.55,41.96,44.41,45.17,45.99,45.85,62.68,55.91,50.14,51.27,60.05,57.48,57.07,63.77,59.06,57.75,69.02,55.67,57.87,53.3,52.47,43.85,38.62,44.27,46.42,49.57,45.77,34.31,18.15,30.2,26.58,35.41,30.45,37.5,36.8,29.43,25.65,29.86,31.07,23.26,32.82,24.03,35.01,28.96,32.9,33.33,25.29,39.46,45.66,34.39,38.6,44.5,42.98,45.51,33.22,36.26,49.17,57.85,55.22,56.03,53.37,56.1,52.84,61.2,46.67,66.93,58.47,59.68,46.35,53.79,40.66,52.5,48.73,49.68,35.51,47.61,33.63,33.86,34.03,60.93,31.45,21.38,28.76,35.38,18.48,36.52,57.14,24.75,28.18,19.98,33.2,29.33,20.48,20.12,15.13,24.67,26.32,37.01,45.65,44.23,28.5,34.73,43.18,33.98,46.88,38.74,34.32,49.56,34.45,52.12,43.92,46.31,53.76,53.36,47.07,58.01,59.82,47.65,58.95,47.09,55.91,46.87,52.55,44.2,41.79,39.17,33.98,43.67,45.47,31.3,34.69,36.57,33.06,36.11,31.06,22.71,26.99,28.59,61.84,33.94,38.82,31.66,46.41,35.9,34.41,62.61,35.32,31.77,31.67,36.1,33.63,36.35,42.32,37.03,43.75,64.09,62.61
Obelisk of Theodosius,23.21,24.8,21.78,29.99,22.4,19.08,34.62,22.87,23.92,22.1,22.25,27.79,39.37,29.15,30.01,35.38,37.09,36.32,33.35,38.18,54.89,41.33,30.19,43.91,42.41,48.1,68.49,57.01,62.45,60.0,55.7,56.29,46.92,52.66,40.03,51.45,54.88,47.53,44.86,47.72,42.77,44.02,43.92,40.86,37.11,27.91,28.09,37.36,32.87,32.86,29.02,30.45,27.53,15.52,19.34,25.51,20.97,30.12,30.96,28.97,29.96,30.33,33.49,38.52,33.92,34.38,29.73,49.54,44.25,44.69,44.76,52.66,49.55,44.05,53.02,57.2,55.0,56.33,52.95,58.98,61.2,55.81,78.36,54.99,55.38,62.39,54.29,55.89,44.75,46.07,49.76,44.6,43.19,46.61,41.28,42.81,42.7,37.35,37.1,37.96,38.32,34.67,35.71,26.55,33.29,39.5,30.41,20.38,25.3,25.2,34.29,35.76,32.59,27.08,26.8,29.77,32.41,35.82,38.97,32.33,36.43,41.82,44.27,45.03,45.83,45.7,62.48,55.73,49.97,51.1,59.85,57.29,56.88,63.56,58.86,57.57,68.79,55.49,57.68,53.13,52.29,43.71,38.5,44.12,46.26,49.41,45.62,34.2,18.09,30.11,26.49,35.3,30.36,37.38,36.68,29.34,25.57,29.77,30.97,23.19,32.71,23.96,34.89,28.86,32.79,33.23,25.21,39.34,45.51,34.28,38.47,44.35,42.84,45.36,33.11,36.14,49.01,57.66,55.04,55.85,53.19,55.91,52.67,61.0,46.52,66.71,58.28,59.49,46.2,53.61,40.53,52.32,48.57,49.52,35.39,47.45,33.52,33.74,33.92,60.73,31.35,21.31,28.66,35.26,18.42,36.4,56.95,24.67,28.09,19.91,33.09,29.24,20.41,20.05,15.08,24.59,26.23,36.89,45.5,44.08,28.41,34.62,43.04,33.87,46.73,38.61,34.21,49.4,34.34,51.95,43.78,46.16,53.58,53.18,46.91,57.82,59.63,47.5,58.76,46.94,55.72,46.71,52.38,44.05,41.66,39.05,33.87,43.53,45.33,31.19,34.57,36.45,32.96,35.99,30.96,22.63,26.9,28.5,61.64,33.83,38.7,31.55,46.25,35.78,34.29,62.41,35.2,31.66,31.56,35.98,33.52,36.23,42.19,36.91,43.61,63.88,62.41
The Blue Mosque,22.77,24.33,21.38,29.43,21.98,18.72,33.97,22.44,23.47,21.69,21.84,27.27,38.63,28.61,29.45,34.72,36.39,35.64,32.73,37.47,53.87,40.56,29.62,43.09,41.61,47.2,67.21,55.94,61.28,58.88,54.66,55.24,46.04,51.67,39.28,50.49,53.86,46.65,44.02,46.83,41.97,43.2,43.09,40.1,36.41,27.39,27.56,36.66,32.26,32.24,28.48,29.88,27.01,15.23,18.98,25.03,20.58,29.56,30.38,28.43,29.4,29.77,32.86,37.8,33.28,33.74,29.18,48.61,43.42,43.86,43.93,51.68,48.62,43.23,52.03,56.13,53.97,55.28,51.96,57.88,60.05,54.77,76.9,53.96,54.35,61.22,53.28,54.85,43.91,45.21,48.83,43.77,42.38,45.74,40.51,42.01,41.91,36.65,36.41,37.25,37.6,34.02,35.04,26.05,32.67,38.76,29.85,20.0,24.83,24.73,33.65,35.09,31.98,26.57,26.3,29.21,31.81,35.15,38.24,31.72,35.75,41.04,43.44,44.18,44.98,44.85,61.31,54.68,49.04,50.14,58.73,56.22,55.82,62.38,57.76,56.49,67.51,54.45,56.6,52.14,51.32,42.89,37.78,43.3,45.4,48.49,44.76,33.56,17.75,29.54,26.0,34.64,29.79,36.68,35.99,28.79,25.09,29.21,30.39,22.75,32.1,23.51,34.24,28.32,32.18,32.6,24.74,38.6,44.66,33.63,37.75,43.52,42.04,44.51,32.49,35.46,48.09,56.58,54.01,54.8,52.2,54.87,51.68,59.86,45.65,65.46,57.19,58.38,45.33,52.61,39.77,51.35,47.66,48.59,34.73,46.57,32.89,33.11,33.29,59.59,30.76,20.91,28.13,34.6,18.08,35.72,55.89,24.21,27.57,19.54,32.47,28.69,20.03,19.67,14.8,24.13,25.74,36.2,44.65,43.26,27.88,33.97,42.23,33.23,45.85,37.89,33.57,48.47,33.69,50.98,42.96,45.29,52.58,52.19,46.03,56.74,58.51,46.61,57.66,46.06,54.68,45.84,51.4,43.23,40.88,38.32,33.23,42.71,44.48,30.61,33.93,35.77,32.34,35.32,30.38,22.21,26.4,27.97,60.49,33.19,37.97,30.96,45.39,35.11,33.65,61.24,34.54,31.07,30.97,35.31,32.89,35.56,41.4,36.22,42.79,62.68,61.24
Tomb of Sultan Ahmet,22.77,24.33,21.38,29.43,21.98,18.72,33.97,22.44,23.47,21.69,21.84,27.27,38.63,28.61,29.45,34.72,36.39,35.64,32.73,37.47,53.87,40.56,29.62,43.09,41.61,47.2,67.21,55.94,61.28,58.88,54.66,55.24,46.04,51.67,39.28,50.49,53.86,46.65,44.02,46.83,41.97,43.2,43.09,40.1,36.41,27.39,27.56,36.66,32.26,32.24,28.48,29.88,27.01,15.23,18.98,25.03,20.58,29.56,30.38,28.43,29.4,29.77,32.86,37.8,33.28,33.74,29.18,48.61,43.42,43.86,43.93,51.68,48.62,43.23,52.03,56.13,53.97,55.28,51.96,57.88,60.05,54.77,76.9,53.96,54.35,61.22,53.28,54.85,43.91,45.21,48.83,43.77,42.38,45.74,40.51,42.01,41.91,36.65,36.41,37.25,37.6,34.02,35.04,26.05,32.67,38.76,29.85,20.0,24.83,24.73,33.65,35.09,31.98,26.57,26.3,29.21,31.81,35.15,38.24,31.72,35.75,41.04,43.44,44.18,44.98,44.85,61.31,54.68,49.04,50.14,58.73,56.22,55.82,62.38,57.76,56.49,67.51,54.45,56.6,52.14,51.32,42.89,37.78,43.3,45.4,48.49,44.76,33.56,17.75,29.54,26.0,34.64,29.79,36.68,35.99,28.79,25.09,29.21,30.39,22.75,32.1,23.51,34.24,28.32,32.18,32.6,24.74,38.6,44.66,33.63,37.75,43.52,42.04,44.51,32.49,35.46,48.09,56.58,54.01,54.8,52.2,54.87,51.68,59.86,45.65,65.46,57.19,58.38,45.33,52.61,39.77,51.35,47.66,48.59,34.73,46.57,32.89,33.11,33.29,59.59,30.76,20.91,28.13,34.6,18.08,35.72,55.89,24.21,27.57,19.54,32.47,28.69,20.03,19.67,14.8,24.13,25.74,36.2,44.65,43.26,27.88,33.97,42.23,33.23,45.85,37.89,33.57,48.47,33.69,50.98,42.96,45.29,52.58,52.19,46.03,56.74,58.51,46.61,57.66,46.06,54.68,45.84,51.4,43.23,40.88,38.32,33.23,42.71,44.48,30.61,33.93,35.77,32.34,35.32,30.38,22.21,26.4,27.97,60.49,33.19,37.97,30.96,45.39,35.11,33.65,61.24,34.54,31.07,30.97,35.31,32.89,35.56,41.4,36.22,42.79,62.68,61.24
Tombili,22.77,24.33,21.37,29.43,21.98,18.72,33.97,22.43,23.46,21.68,21.83,27.26,38.62,28.6,29.44,34.71,36.39,35.63,32.72,37.46,53.85,40.55,29.62,43.08,41.6,47.19,67.19,55.93,61.27,58.87,54.65,55.23,46.03,51.66,39.27,50.48,53.85,46.64,44.01,46.82,41.96,43.19,43.09,40.09,36.41,27.39,27.56,36.66,32.25,32.24,28.48,29.88,27.01,15.23,18.97,25.03,20.58,29.55,30.38,28.42,29.39,29.76,32.86,37.79,33.27,33.73,29.17,48.6,43.41,43.85,43.92,51.67,48.61,43.22,52.02,56.12,53.96,55.27,51.95,57.87,60.04,54.75,76.88,53.95,54.34,61.21,53.27,54.84,43.91,45.2,48.82,43.76,42.38,45.73,40.5,42.0,41.9,36.65,36.4,37.24,37.59,34.01,35.03,26.05,32.66,38.75,29.84,20.0,24.82,24.73,33.64,35.09,31.97,26.56,26.29,29.21,31.8,35.14,38.23,31.72,35.74,41.03,43.43,44.17,44.97,44.84,61.3,54.67,49.03,50.13,58.72,56.21,55.81,62.36,57.75,56.48,67.49,54.44,56.59,52.13,51.31,42.88,37.77,43.29,45.39,48.48,44.75,33.56,17.75,29.54,25.99,34.63,29.78,36.67,35.98,28.78,25.08,29.2,30.38,22.75,32.09,23.5,34.23,28.32,32.17,32.6,24.74,38.59,44.65,33.63,37.75,43.51,42.03,44.5,32.49,35.45,48.08,56.57,54.0,54.79,52.19,54.86,51.67,59.85,45.64,65.45,57.18,58.36,45.32,52.6,39.76,51.34,47.65,48.58,34.72,46.56,32.89,33.11,33.28,59.58,30.76,20.91,28.12,34.6,18.07,35.71,55.88,24.2,27.56,19.53,32.46,28.69,20.03,19.67,14.8,24.12,25.74,36.19,44.64,43.25,27.87,33.96,42.22,33.23,45.85,37.88,33.56,48.46,33.69,50.97,42.95,45.28,52.57,52.18,46.03,56.73,58.5,46.6,57.65,46.05,54.67,45.83,51.39,43.22,40.87,38.31,33.23,42.7,44.47,30.6,33.92,35.76,32.33,35.31,30.37,22.2,26.39,27.96,60.47,33.19,37.96,30.96,45.38,35.1,33.65,61.23,34.54,31.07,30.97,35.3,32.88,35.55,41.39,36.21,42.78,62.67,61.23
Ciragan Palace,22.32,23.85,20.95,28.84,21.54,18.35,33.29,21.99,23.0,21.25,21.4,26.72,37.85,28.03,28.86,34.02,35.66,34.92,32.07,36.72,52.78,39.74,29.03,42.23,40.78,46.25,65.85,54.82,60.05,57.7,53.56,54.13,45.11,50.63,38.49,49.47,52.77,45.71,43.13,45.89,41.13,42.33,42.23,39.29,35.68,26.84,27.01,35.93,31.61,31.59,27.91,29.28,26.47,14.93,18.6,24.53,20.17,28.96,29.77,27.86,28.8,29.17,32.2,37.04,32.61,33.06,28.59,47.64,42.55,42.98,43.04,50.64,47.64,42.36,50.98,55.0,52.89,54.17,50.92,56.71,58.85,53.66,75.35,52.88,53.25,59.99,52.21,53.75,43.03,44.3,47.85,42.89,41.53,44.82,39.69,41.16,41.06,35.92,35.68,36.5,36.84,33.34,34.34,25.53,32.01,37.98,29.25,19.6,24.33,24.23,32.97,34.39,31.34,26.04,25.77,28.63,31.17,34.44,37.47,31.08,35.03,40.21,42.56,43.3,44.07,43.94,60.08,53.58,48.05,49.13,57.55,55.09,54.69,61.12,56.6,55.35,66.15,53.36,55.46,51.09,50.28,42.03,37.02,42.43,44.49,47.51,43.86,32.89,17.4,28.95,25.48,33.94,29.19,35.94,35.27,28.21,24.58,28.62,29.78,22.29,31.45,23.04,33.55,27.75,31.53,31.95,24.24,37.82,43.76,32.96,37.0,42.65,41.19,43.62,31.84,34.75,47.12,55.45,52.93,53.7,51.15,53.77,50.64,58.66,44.73,64.14,56.04,57.2,44.42,51.55,38.97,50.31,46.7,47.61,34.03,45.63,32.23,32.45,32.62,58.4,30.14,20.49,27.56,33.91,17.71,35.0,54.76,23.72,27.01,19.15,31.82,28.11,19.63,19.28,14.5,23.64,25.23,35.47,43.76,42.39,27.32,33.29,41.38,32.57,44.93,37.13,32.89,47.5,33.02,49.95,42.1,44.38,51.52,51.14,45.11,55.6,57.34,45.67,56.5,45.14,53.58,44.92,50.37,42.36,40.06,37.55,32.57,41.85,43.58,29.99,33.25,35.05,31.69,34.61,29.77,21.76,25.87,27.41,59.27,32.53,37.21,30.34,44.48,34.4,32.98,60.01,33.85,30.45,30.35,34.6,32.23,34.84,40.56,35.49,41.93,61.42,60.01
Yıldız Palace,22.29,23.82,20.92,28.8,21.51,18.32,33.25,21.96,22.97,21.23,21.37,26.68,37.81,28.0,28.82,33.98,35.62,34.88,32.03,36.67,52.72,39.69,28.99,42.17,40.72,46.19,65.77,54.75,59.98,57.62,53.49,54.06,45.06,50.57,38.44,49.41,52.71,45.65,43.08,45.83,41.07,42.28,42.17,39.24,35.64,26.81,26.97,35.88,31.57,31.55,27.87,29.24,26.44,14.91,18.57,24.5,20.14,28.93,29.73,27.82,28.77,29.13,32.16,36.99,32.57,33.02,28.56,47.58,42.49,42.92,42.99,50.57,47.58,42.31,50.92,54.93,52.82,54.1,50.85,56.64,58.77,53.6,75.26,52.81,53.19,59.91,52.14,53.68,42.98,44.24,47.79,42.83,41.48,44.76,39.64,41.11,41.01,35.87,35.63,36.45,36.8,33.29,34.29,25.5,31.97,37.94,29.21,19.57,24.3,24.2,32.93,34.35,31.3,26.0,25.74,28.59,31.13,34.4,37.42,31.05,34.99,40.16,42.51,43.24,44.02,43.89,60.0,53.52,47.99,49.07,57.48,55.02,54.63,61.05,56.53,55.28,66.07,53.29,55.39,51.02,50.22,41.97,36.97,42.37,44.43,47.45,43.81,32.85,17.38,28.91,25.44,33.9,29.15,35.89,35.22,28.17,24.55,28.59,29.74,22.27,31.41,23.01,33.51,27.72,31.49,31.91,24.21,37.78,43.71,32.92,36.95,42.59,41.14,43.56,31.8,34.71,47.06,55.38,52.86,53.64,51.08,53.7,50.58,58.58,44.67,64.06,55.97,57.13,44.37,51.49,38.92,50.25,46.65,47.55,33.99,45.57,32.19,32.41,32.58,58.32,30.11,20.46,27.53,33.86,17.69,34.96,54.7,23.69,26.98,19.12,31.78,28.08,19.6,19.26,14.48,23.61,25.19,35.43,43.7,42.34,27.28,33.24,41.33,32.53,44.88,37.08,32.85,47.44,32.98,49.89,42.05,44.33,51.46,51.07,45.05,55.53,57.27,45.61,56.43,45.08,53.51,44.86,50.3,42.31,40.01,37.5,32.52,41.8,43.53,29.96,33.2,35.01,31.65,34.56,29.73,21.73,25.83,27.37,59.19,32.49,37.16,30.3,44.42,34.36,32.94,59.93,33.81,30.41,30.31,34.55,32.19,34.8,40.51,35.45,41.88,61.35,59.93
Hagia Triada Greek Orthodox Church,22.25,23.78,20.89,28.76,21.48,18.29,33.19,21.92,22.93,21.19,21.33,26.64,37.74,27.95,28.78,33.93,35.56,34.82,31.98,36.61,52.63,39.63,28.94,42.11,40.66,46.11,65.66,54.66,59.88,57.53,53.41,53.97,44.98,50.49,38.38,49.33,52.62,45.58,43.01,45.75,41.01,42.21,42.11,39.18,35.58,26.76,26.93,35.82,31.52,31.5,27.83,29.2,26.39,14.88,18.54,24.46,20.11,28.88,29.69,27.78,28.72,29.08,32.11,36.93,32.52,32.96,28.51,47.5,42.42,42.85,42.92,50.49,47.51,42.24,50.84,54.84,52.73,54.01,50.77,56.55,58.68,53.51,75.14,52.72,53.1,59.81,52.06,53.59,42.91,44.17,47.71,42.76,41.41,44.69,39.58,41.05,40.94,35.81,35.57,36.39,36.74,33.24,34.24,25.45,31.92,37.87,29.16,19.54,24.26,24.16,32.87,34.29,31.25,25.96,25.69,28.54,31.08,34.34,37.36,30.99,34.93,40.1,42.44,43.17,43.95,43.82,59.9,53.43,47.91,48.99,57.38,54.93,54.54,60.95,56.44,55.19,65.96,53.2,55.3,50.94,50.14,41.9,36.91,42.31,44.36,47.38,43.74,32.79,17.35,28.87,25.4,33.84,29.1,35.84,35.16,28.13,24.51,28.54,29.69,22.23,31.36,22.97,33.45,27.67,31.44,31.86,24.17,37.71,43.64,32.86,36.89,42.52,41.07,43.49,31.75,34.65,46.99,55.29,52.77,53.55,51.0,53.61,50.5,58.49,44.6,63.96,55.88,57.04,44.29,51.4,38.86,50.17,46.57,47.48,33.93,45.5,32.14,32.35,32.52,58.23,30.06,20.43,27.48,33.81,17.66,34.9,54.61,23.65,26.93,19.09,31.73,28.03,19.57,19.22,14.46,23.57,25.15,35.37,43.63,42.27,27.24,33.19,41.26,32.47,44.8,37.02,32.8,47.36,32.92,49.81,41.98,44.25,51.37,50.99,44.98,55.44,57.17,45.54,56.34,45.01,53.43,44.79,50.22,42.24,39.94,37.44,32.47,41.73,43.46,29.91,33.15,34.95,31.6,34.51,29.68,21.7,25.79,27.33,59.1,32.43,37.1,30.25,44.35,34.3,32.88,59.83,33.75,30.36,30.26,34.5,32.14,34.74,40.45,35.39,41.81,61.25,59.83
Serpent Column,22.21,23.73,20.84,28.7,21.43,18.26,33.13,21.88,22.89,21.15,21.29,26.59,37.67,27.9,28.72,33.86,35.49,34.75,31.91,36.54,52.53,39.55,28.89,42.02,40.58,46.02,65.53,54.55,59.76,57.42,53.3,53.86,44.9,50.39,38.3,49.23,52.52,45.49,42.92,45.66,40.93,42.12,42.02,39.1,35.51,26.71,26.88,35.75,31.46,31.44,27.77,29.14,26.34,14.85,18.5,24.41,20.07,28.82,29.63,27.72,28.66,29.03,32.05,36.86,32.45,32.9,28.45,47.4,42.34,42.77,42.83,50.39,47.41,42.15,50.74,54.73,52.63,53.9,50.67,56.44,58.56,53.4,74.99,52.62,52.99,59.7,51.95,53.49,42.82,44.08,47.61,42.68,41.33,44.6,39.5,40.96,40.86,35.74,35.5,36.32,36.67,33.17,34.17,25.4,31.86,37.8,29.1,19.5,24.21,24.12,32.81,34.22,31.19,25.91,25.64,28.49,31.02,34.27,37.29,30.93,34.86,40.02,42.36,43.08,43.86,43.73,59.79,53.32,47.82,48.9,57.27,54.82,54.43,60.83,56.33,55.08,65.83,53.1,55.19,50.84,50.04,41.82,36.84,42.22,44.27,47.28,43.65,32.73,17.31,28.81,25.35,33.78,29.05,35.77,35.09,28.07,24.47,28.48,29.63,22.19,31.3,22.92,33.39,27.62,31.38,31.79,24.13,37.64,43.55,32.8,36.82,42.44,40.99,43.4,31.68,34.58,46.89,55.18,52.67,53.44,50.9,53.5,50.4,58.37,44.51,63.83,55.76,56.92,44.21,51.3,38.78,50.07,46.48,47.38,33.87,45.41,32.08,32.29,32.46,58.11,30.0,20.39,27.43,33.74,17.63,34.83,54.5,23.6,26.88,19.05,31.66,27.98,19.53,19.19,14.43,23.53,25.1,35.3,43.54,42.18,27.19,33.12,41.18,32.41,44.71,36.95,32.73,47.27,32.86,49.71,41.89,44.17,51.27,50.89,44.89,55.33,57.06,45.45,56.23,44.92,53.32,44.7,50.12,42.15,39.86,37.36,32.41,41.65,43.37,29.85,33.08,34.88,31.53,34.44,29.62,21.66,25.74,27.27,58.98,32.37,37.03,30.19,44.26,34.24,32.82,59.72,33.69,30.3,30.2,34.43,32.07,34.67,40.37,35.32,41.73,61.13,59.72
