poi_id,display_name_en,category_clean,query_area,wiki_title,wiki_match_method,wiki_match_score,wiki_pageviews_total,review_reason,token_overlap,review_decision,corrected_wiki_title,corrected_display_name_en,notes
otm_Q399482,Siege of Constantinople (674-678),historic,Topkapi Palace,Siege of Constantinople (674–678),search,1.0,56394.0,abstract_or_non_poi,1.0,drop_wiki,,,"historical event / episode, not a practical attraction POI"
otm_Q27900,Siege of Constantinople (717-718),historic,Eminonu / Spice Bazaar,Siege of Constantinople (717–718),search,1.0,71397.0,abstract_or_non_poi,1.0,drop_wiki,,,"historical event / episode, not a practical attraction POI"
otm_Q647228,"Edirnekapı, Istanbul",historic,Balat / Fener,Istanbul,search,0.5,1617259.0,abstract_or_non_poi;generic_wiki_title,0.5,fix,"Edirnekapı, Fatih",,replaced generic city page with closest place-level historical proxy
otm_W32394781,Istanbul City Wall,historic,Eyup / Pierre Loti,Istanbul,search,0.3333333333333333,1617259.0,abstract_or_non_poi;generic_wiki_title,0.333,drop_wiki,,,vague fortification segment / unclear POI identity; avoid broad wall-page popularity
otm_W59600891,Istanbul Radio House,attraction,Dolmabahce,Istanbul,search,0.3333333333333333,1617259.0,abstract_or_non_poi;generic_wiki_title,0.333,drop_wiki,,,unverifiable / unclear POI identity; generic city page match removed
otm_N6879165718,15 July coup monument (Istanbul),historic,Beylerbeyi Palace,Timeline of Istanbul,search,0.2,4959.0,abstract_or_non_poi;generic_wiki_title;low_match_score,0.2,drop_wiki,,,incorrect Wikipedia match; keep POI but remove direct wiki linkage
otm_Q956679,Siege of Constantinople (821-823),historic,Eminonu / Spice Bazaar,History of Constantinople,search,0.2,20040.0,abstract_or_non_poi;generic_wiki_title;low_match_score,0.333,drop_wiki,,,"historical event / episode, not a practical attraction POI"
otm_W733808427,Ahmet Çelebi Mosque,religious,Uskudar Waterfront,Ahi Çelebi,search,0.25,839.0,low_match_score,0.25,drop_wiki,,,incorrect cross-match to a different mosque; keep POI but remove wiki linkage
otm_W53602038,Haidar Pasha Cemetery,historic,Kadikoy Historic Center,Haydarpaşa Cemetery,search,0.25,2387.0,low_match_score,0.25,keep,,,Wikipedia identity appears correct; location may be slightly off but not a wiki-match problem
otm_N4988111427,Ruins of Bucoleon Palace,historic,Sultanahmet Core,Boukoleon Palace,search,0.25,25560.0,low_match_score,0.25,keep,,,ruins and palace treated as the same historical site
otm_N269479694,Sculpture of Barbarossa,historic,Dolmabahce,Barbarossa (board game),search,0.25,3825.0,low_match_score,0.25,drop_wiki,,,incorrect unrelated wiki match; keep POI but remove Wikipedia linkage
otm_W110314231,Theotokos Kyriotissa (Kalenderhane),religious,Suleymaniye,Kalenderhane Mosque,search,0.25,5785.0,low_match_score,0.25,keep,,,historical and current names refer to the same building/site
otm_Q85817590,Tomb of Mehmed the Conqueror,historic,Fatih / Valens Aqueduct,Mehmed II,search,0.25,0.0,low_match_score,0.25,drop_wiki,,,"keep POI, but remove person-page linkage; related mosque already represented separately"
otm_W260976707,Türkiye İş Bankası Museum,museum,Eminonu / Spice Bazaar,İşbank Museum,search,0.25,1000.0,low_match_score,0.25,keep,,,correct wiki identity; likely duplicate/alternate naming of existing İşbank Museum row
otm_R7321116,Yeni Valide Cami,religious,Uskudar Waterfront,"Yeni Mosque, Thessaloniki",search,0.2,4902.0,low_match_score,0.2,fix,Yeni Valide Mosque,,replaced incorrect Thessaloniki mosque page with correct Üsküdar page
otm_W102190099,Osman Ağa Mosque,religious,Kadikoy Historic Center,Osmanağa Camii,from_url,1.0,0.0,low_token_overlap,0.0,keep,,,"correct Turkish Wikipedia match; pageview gap is enrichment-related, not identity-related"
otm_R7318154,Rumeli Fortress,museum,Rumeli Hisari,Rumelihisarı,from_url,1.0,35767.0,low_token_overlap,0.0,keep,,,correct direct match; English/Turkish name variation only
