xid,name,address,rate,osm,wikidata,kinds,url,sources,otm,wikipedia,image,preview,wikipedia_extracts,point,query_area,bbox
N7294561685,Chora Mosque,"{'city': 'Derviş Ali Mahallesi', 'road': 'Kariye Cami Sokak', 'town': 'Fatih', 'house': 'Kariye Müzesi', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34087', 'country_code': 'tr', 'house_number': '18'}",3h,node/7294561685,Q849489,"religion,mosques,churches,cultural,museums,interesting_places,other_museums,other_churches",https://muze.gen.tr/muze-detay/kariye,"{'geometry': 'osm', 'attributes': ['osm', 'wikidata']}",https://opentripmap.com/en/card/N7294561685,https://en.wikipedia.org/wiki/Chora%20Church,https://commons.wikimedia.org/wiki/File:KariyeCamii-Aussenansicht.jpg,"{'source': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/KariyeCamii-Aussenansicht.jpg/293px-KariyeCamii-Aussenansicht.jpg', 'height': 400, 'width': 293}","{'title': 'en:Chora Church', 'text': 'The Kariye Mosque (Turkish: Kariye Camii), or the Church of the Holy Saviour in Chora (Greek: Ἐκκλησία τοῦ Ἁγίου Σωτῆρος ἐν τῇ Χώρᾳ), is a medieval Greek Orthodox church used as a mosque today in the Edirnekapı neighborhood of Istanbul, Turkey. The neighborhood is situated in the western part of the municipality (belediye) of the Fatih district. The Church of the Holy Saviour in Chora was built in the style of Byzantine architecture. In the 16th century, during the Ottoman era, the Christian church was converted into a mosque; it became a museum in 1945, and was turned back into a mosque in 2020 by President Erdogan but the mosque reversion has been halted as of January 2021 due to lack of Islamic cultural significance and clerical interest, compared to the Hagia Sophia. The interior of the building is covered with some of the oldest and finest surviving Byzantine Christian mosaics and frescoes; they were uncovered and restored after the building was secularized and turned into a museum.', 'html': '<p>The <b>Kariye Mosque</b> (Turkish: <i lang=""tr"">Kariye Camii</i>), or the <b>Church of the Holy Saviour in Chora</b> (Greek: <span lang=""el"">Ἐκκλησία τοῦ Ἁγίου Σωτῆρος ἐν τῇ Χώρᾳ</span>), is a medieval Greek Orthodox church used as a mosque today in the Edirnekapı neighborhood of Istanbul, Turkey. The neighborhood is situated in the western part of the municipality (belediye) of the Fatih district. The Church of the Holy Saviour in Chora was built in the style of Byzantine architecture. In the 16th century, during the Ottoman era, the Christian church was converted into a mosque; it became a museum in 1945, and was turned back into a mosque in 2020 by President Erdogan but the mosque reversion has been halted as of January 2021 due to lack of Islamic cultural significance and clerical interest, compared to the Hagia Sophia. The interior of the building is covered with some of the oldest and finest surviving Byzantine Christian mosaics and frescoes; they were uncovered and restored after the building was secularized and turned into a museum.</p>'}","{'lon': 28.939090728759766, 'lat': 41.031097412109375}",Balat / Fener,
W32395058,Kariye Museum,"{'city': 'Derviş Ali Mahallesi', 'road': 'Kariye Cami Sokak', 'town': 'Fatih', 'house': 'Kariye Müzesi', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34087', 'country_code': 'tr', 'house_number': '18'}",3h,way/32395058,Q849489,"religion,mosques,churches,cultural,museums,interesting_places,other_museums,other_churches",https://muze.gen.tr/muze-detay/kariye,"{'geometry': 'osm', 'attributes': ['osm', 'wikidata']}",https://opentripmap.com/en/card/W32395058,https://en.wikipedia.org/wiki/Chora%20Church,https://commons.wikimedia.org/wiki/File:KariyeCamii-Aussenansicht.jpg,"{'source': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/KariyeCamii-Aussenansicht.jpg/293px-KariyeCamii-Aussenansicht.jpg', 'height': 400, 'width': 293}","{'title': 'en:Chora Church', 'text': 'The Kariye Mosque (Turkish: Kariye Camii), or the Church of the Holy Saviour in Chora (Greek: Ἐκκλησία τοῦ Ἁγίου Σωτῆρος ἐν τῇ Χώρᾳ), is a medieval Greek Orthodox church used as a mosque today in the Edirnekapı neighborhood of Istanbul, Turkey. The neighborhood is situated in the western part of the municipality (belediye) of the Fatih district. The Church of the Holy Saviour in Chora was built in the style of Byzantine architecture. In the 16th century, during the Ottoman era, the Christian church was converted into a mosque; it became a museum in 1945, and was turned back into a mosque in 2020 by President Erdogan but the mosque reversion has been halted as of January 2021 due to lack of Islamic cultural significance and clerical interest, compared to the Hagia Sophia. The interior of the building is covered with some of the oldest and finest surviving Byzantine Christian mosaics and frescoes; they were uncovered and restored after the building was secularized and turned into a museum.', 'html': '<p>The <b>Kariye Mosque</b> (Turkish: <i lang=""tr"">Kariye Camii</i>), or the <b>Church of the Holy Saviour in Chora</b> (Greek: <span lang=""el"">Ἐκκλησία τοῦ Ἁγίου Σωτῆρος ἐν τῇ Χώρᾳ</span>), is a medieval Greek Orthodox church used as a mosque today in the Edirnekapı neighborhood of Istanbul, Turkey. The neighborhood is situated in the western part of the municipality (belediye) of the Fatih district. The Church of the Holy Saviour in Chora was built in the style of Byzantine architecture. In the 16th century, during the Ottoman era, the Christian church was converted into a mosque; it became a museum in 1945, and was turned back into a mosque in 2020 by President Erdogan but the mosque reversion has been halted as of January 2021 due to lack of Islamic cultural significance and clerical interest, compared to the Hagia Sophia. The interior of the building is covered with some of the oldest and finest surviving Byzantine Christian mosaics and frescoes; they were uncovered and restored after the building was secularized and turned into a museum.</p>'}","{'lon': 28.939029693603516, 'lat': 41.03120040893555}",Balat / Fener,"{'lon_min': 28.938825, 'lon_max': 28.939213, 'lat_min': 41.031057, 'lat_max': 41.031348}"
R7318154,Rumeli Fortress,"{'road': 'Yahya Kemal Caddesi', 'town': 'Sarıyer', 'state': 'Marmara Bölgesi', 'suburb': 'Rumeli Hisarı Mahallesi', 'country': 'Türkiye', 'postcode': '34470', 'country_code': 'tr'}",3,relation/7318154,Q90801,"fortifications,historic,cultural,museums,interesting_places,castles,history_museums",https://muze.gen.tr/muze-detay/rumeli;https://muze.gen.tr/,"{'geometry': 'osm', 'attributes': ['osm', 'wikidata']}",https://opentripmap.com/en/card/R7318154,https://en.wikipedia.org/wiki/Rumelihisar%C4%B1,https://commons.wikimedia.org/wiki/File:Twierdza_Rumeli_Istambu%C5%82_RB1.jpg,"{'source': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Twierdza_Rumeli_Istambu%C5%82_RB1.jpg/400px-Twierdza_Rumeli_Istambu%C5%82_RB1.jpg', 'height': 227, 'width': 400}","{'title': 'en:Rumelihisarı', 'text': 'Rumelihisarı (also known as Rumelian Castle and Roumeli Hissar Castle) or Boğazkesen Castle (meaning ""Strait-Blocker Castle"" or literally ""Throat-Cutter Castle"") is a medieval fortress located in Istanbul, Turkey, on a series of hills on the European banks of the Bosphorus. The fortress also lends its name to the immediate neighborhood around it in the city\'s Sarıyer district.', 'html': '<p><b>Rumelihisarı</b> (also known as <b>Rumelian Castle</b> and <b>Roumeli Hissar Castle</b>) or <b>Boğazkesen Castle</b> (meaning ""Strait-Blocker Castle"" or literally ""Throat-Cutter Castle"") is a medieval fortress located in Istanbul, Turkey, on a series of hills on the European banks of the Bosphorus. The fortress also lends its name to the immediate neighborhood around it in the city\'s Sarıyer district.</p>'}","{'lon': 29.056764602661133, 'lat': 41.08497619628906}",Rumeli Hisari,"{'lon_min': 29.055415, 'lon_max': 29.05688, 'lat_min': 41.083859, 'lat_max': 41.08609}"
W102190099,Osman ağa Mosque,"{'city': 'Osmanağa Mahallesi', 'town': 'Kadıköy', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34714', 'pedestrian': 'Yağlıkçı İsmail Sokağı', 'country_code': 'tr'}",3,way/102190099,Q6029146,"religion,mosques,interesting_places",,"{'geometry': 'osm', 'attributes': ['osm', 'wikidata']}",https://opentripmap.com/en/card/W102190099,https://tr.wikipedia.org/wiki/Osmana%C4%9Fa%20Camii,https://commons.wikimedia.org/wiki/File:2021-04-04_Osmanaga-camii-Kadikoy.jpg,"{'source': 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/2021-04-04_Osmanaga-camii-Kadikoy.jpg/400px-2021-04-04_Osmanaga-camii-Kadikoy.jpg', 'height': 271, 'width': 400}","{'title': 'tr:Osmanağa Camii', 'text': 'Osmanağa Camii ya da Osman Ağa Camii, Kadı Mehmet Efendi Mescidi harap olunca yerine 1. Sultan Ahmet’in Babussaade Ağası Osman Ağa tarafından 1612 yılında yaptırılmıştır. Zamanla bu camii de harap olunca, 1811 yılında 2. Sultan Mahmut tarafından yenilenmiş, fakat 1878’de Kadıköy’de vukua gelen yangın sonunda bu da yanmış, aynı yılda bugünkü camii inşa edilmiştir. Camii bahçesindeki çınar ağacı 1880 yılında caminin imamı Mehmet Asım Efendi tarafından dikilmiştir.', 'html': '<p><b>Osmanağa Camii</b> ya da <b>Osman Ağa Camii</b>, Kadı Mehmet Efendi Mescidi harap olunca yerine 1. Sultan Ahmet’in Babussaade Ağası Osman Ağa tarafından 1612 yılında yaptırılmıştır. Zamanla bu camii de harap olunca, 1811 yılında 2. Sultan Mahmut tarafından yenilenmiş, fakat 1878’de Kadıköy’de vukua gelen yangın sonunda bu da yanmış, aynı yılda bugünkü camii inşa edilmiştir. Camii bahçesindeki çınar ağacı 1880 yılında caminin imamı Mehmet Asım Efendi tarafından dikilmiştir.</p>'}","{'lon': 29.026123046875, 'lat': 40.990840911865234}",Kadikoy Historic Center,"{'lon_min': 29.025956, 'lon_max': 29.02629, 'lat_min': 40.990717, 'lat_max': 40.990961}"
W23236783,Galata Tower,"{'city': 'Bereketzade Mahallesi', 'town': 'Beyoğlu', 'state': 'Marmara Bölgesi', 'suburb': 'Galata', 'country': 'Türkiye', 'postcode': '34420', 'country_code': 'tr'}",3,way/23236783,Q91274,"architecture,towers,interesting_places,observation_towers",https://www.geziyerler.com/galata-kulesi;https://muze.gen.tr/muze-detay/galatakulesi,"{'geometry': 'osm', 'attributes': ['osm', 'wikidata']}",https://opentripmap.com/en/card/W23236783,https://en.wikipedia.org/wiki/Galata%20Tower,https://commons.wikimedia.org/wiki/File:Galata_Tower_after_the_2020_restoration.jpg,"{'source': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Galata_Tower_after_the_2020_restoration.jpg/300px-Galata_Tower_after_the_2020_restoration.jpg', 'height': 400, 'width': 300}","{'title': 'en:Galata Tower', 'text': 'The Galata Tower (Turkish: Galata Kulesi), called Christea Turris (the ""Tower of Christ"" in Latin) by the Genoese, is a medieval stone tower in the Galata/Karaköy quarter of Istanbul, Turkey, just to the north of the Golden Horn\'s junction with the Bosphorus. It is a high, cone-capped cylinder that dominates the skyline and offers a panoramic vista of Istanbul\'s historic peninsula and its environs.', 'html': '<p>The <b>Galata Tower</b> (Turkish: <i lang=""tr"">Galata Kulesi</i>), called <i>Christea Turris</i> (the ""Tower of Christ"" in Latin) by the Genoese, is a medieval stone tower in the Galata/Karaköy quarter of Istanbul, Turkey, just to the north of the Golden Horn\'s junction with the Bosphorus. It is a high, cone-capped cylinder that dominates the skyline and offers a panoramic vista of Istanbul\'s historic peninsula and its environs.</p>'}","{'lon': 28.974212646484375, 'lat': 41.02564239501953}",Galata Tower,"{'lon_min': 28.97411, 'lon_max': 28.974316, 'lat_min': 41.025557, 'lat_max': 41.025712}"
N6919989286,Ortaköy Mosque,"{'city': 'Mecidiye Mahallesi', 'town': 'Beşiktaş', 'house': 'Ortaköy Meydanı', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34347', 'pedestrian': 'İskele Sokağı', 'country_code': 'tr'}",3,node/6919989286,Q176380,"religion,mosques,interesting_places",,"{'geometry': 'osm', 'attributes': ['osm', 'wikidata']}",https://opentripmap.com/en/card/N6919989286,https://en.wikipedia.org/wiki/Ortak%C3%B6y%20Mosque,https://commons.wikimedia.org/wiki/File:Istanbul_asv2020-02_img61_Ortak%C3%B6y_Mosque.jpg,"{'source': 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Istanbul_asv2020-02_img61_Ortak%C3%B6y_Mosque.jpg/333px-Istanbul_asv2020-02_img61_Ortak%C3%B6y_Mosque.jpg', 'height': 400, 'width': 333}","{'title': 'en:Ortaköy Mosque', 'text': 'Ortaköy Mosque (Turkish: Ortaköy Camii) officially the Büyük Mecidiye Camii (Grand Imperial Mosque of Sultan Abdülmecid) in Beşiktaş, Istanbul, Turkey, is situated at the waterside of the Ortaköy pier square, one of the most popular locations on the Bosphorus. This structure is symbolic of the district of Ortaköy as it has a distinctive view of the Bosphorus Strait of Istanbul and the Bosphorus Bridge. The mosque can be viewed from the Bosphorus Cruise that is popular among tourists, to go from the Asian side of Istanbul to the European side on a ferry boat.', 'html': '<p><b>Ortaköy Mosque</b> (Turkish: <i lang=""tr"">Ortaköy Camii</i>) officially the <b>Büyük Mecidiye Camii</b> (Grand Imperial Mosque of Sultan Abdülmecid) in Beşiktaş, Istanbul, Turkey, is situated at the waterside of the Ortaköy pier square, one of the most popular locations on the Bosphorus. This structure is symbolic of the district of Ortaköy as it has a distinctive view of the Bosphorus Strait of Istanbul and the Bosphorus Bridge. The mosque can be viewed from the Bosphorus Cruise that is popular among tourists, to go from the Asian side of Istanbul to the European side on a ferry boat.</p>'}","{'lon': 29.02560806274414, 'lat': 41.04729080200195}",Ortakoy,
Q105840441,Mısırlı Osman Ağa Fountain,"{'city': 'Osmanağa Mahallesi', 'road': 'Söğütlüçeşme Caddesi', 'town': 'Kadıköy', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34714', 'country_code': 'tr'}",3,,Q105840441,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",,"{'geometry': 'wikidata', 'attributes': ['wikidata']}",https://opentripmap.com/en/card/Q105840441,https://tr.wikipedia.org/wiki/M%C4%B1s%C4%B1rl%C4%B1%20Osman%20A%C4%9Fa%20%C3%87e%C5%9Fmesi%20%28Kad%C4%B1k%C3%B6y%29,https://commons.wikimedia.org/wiki/File:M%C4%B1s%C4%B1rl%C4%B1_Osman_A%C4%9Fa_%C3%87e%C5%9Fmesi%2C_Kad%C4%B1k%C3%B6y-2.jpg,"{'source': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/M%C4%B1s%C4%B1rl%C4%B1_Osman_A%C4%9Fa_%C3%87e%C5%9Fmesi%2C_Kad%C4%B1k%C3%B6y-2.jpg/400px-M%C4%B1s%C4%B1rl%C4%B1_Osman_A%C4%9Fa_%C3%87e%C5%9Fmesi%2C_Kad%C4%B1k%C3%B6y-2.jpg', 'height': 292, 'width': 400}","{'title': 'tr:Mısırlı Osman Ağa Çeşmesi (Kadıköy)', 'text': ""Mısırlı Osman Ağa Çeşmesi ya da kısaca Osman Ağa Çeşmesi, Türkiye'nin İstanbul ilinin Kadıköy ilçesinde yer alan bir çeşmedir. Bâbüssaâde Ağası Mısırlı Osman Ağa tarafından 1621 ya da 1622'de yaptırıldı. Üzerindeki kitâbenin bu çeşmeye ait olmayabileceği ihtimali de ortaya atılmıştır. Bir müddet sonra teknesi çukurda kalan ve işlevini de yitiren çeşme, 1980'lerde yapılan çalışmayla imar hattına taşınarak kot farkı giderildi. Zaman içerisinde ön cephesine, dinlenme taşları ile onları birbirine bağlayan tekne ağzı taşı eklemesi yapıldı. 2020'de yapılan restorasyon çalışmasıyla birlikte tekrar faaliyete geçti."", 'html': ""<p><b>Mısırlı Osman Ağa Çeşmesi</b> ya da kısaca <b>Osman Ağa Çeşmesi</b>, Türkiye'nin İstanbul ilinin Kadıköy ilçesinde yer alan bir çeşmedir. Bâbüssaâde Ağası Mısırlı Osman Ağa tarafından 1621 ya da 1622'de yaptırıldı. Üzerindeki kitâbenin bu çeşmeye ait olmayabileceği ihtimali de ortaya atılmıştır. Bir müddet sonra teknesi çukurda kalan ve işlevini de yitiren çeşme, 1980'lerde yapılan çalışmayla imar hattına taşınarak kot farkı giderildi. Zaman içerisinde ön cephesine, dinlenme taşları ile onları birbirine bağlayan tekne ağzı taşı eklemesi yapıldı. 2020'de yapılan restorasyon çalışmasıyla birlikte tekrar faaliyete geçti.</p>""}","{'lon': 29.026735305786133, 'lat': 40.99107360839844}",Kadikoy Historic Center,
N4519290891,Selman aga Camii,"{'road': 'Selmani Pak Caddesi', 'town': 'Üsküdar', 'state': 'Marmara Bölgesi', 'suburb': 'Mimar Sinan Mahallesi', 'country': 'Türkiye', 'postcode': '34672', 'country_code': 'tr'}",3,node/4519290891,Q6056669,"religion,mosques,interesting_places",,"{'geometry': 'osm', 'attributes': ['osm', 'wikidata']}",https://opentripmap.com/en/card/N4519290891,https://tr.wikipedia.org/wiki/Selman%20A%C4%9Fa%20Camii,https://commons.wikimedia.org/wiki/File:%C3%9Csk%C3%BCdar_Selman_A%C4%9Fa_Camii_%C3%B6nden.jpg,"{'source': 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/%C3%9Csk%C3%BCdar_Selman_A%C4%9Fa_Camii_%C3%B6nden.jpg/400px-%C3%9Csk%C3%BCdar_Selman_A%C4%9Fa_Camii_%C3%B6nden.jpg', 'height': 267, 'width': 400}","{'title': 'tr:Selman Ağa Camii', 'text': ""Selman Ağa Camii, İstanbul'un Üsküdar ilçesinin Mimar Sinan Mahallesi'nde yer alan, Osmanlı Dönemi'nden kalma tarihi bir camidir. II. Beyazıt'ın kapı ağası ve Darüssaade Ağası olan Selman Ağa tarafından yaptırılmıştır. Yapımına 1506 yılında başlanan cami, aynı sene ibadete açılmıştır. Cami mimari olarak Osmanlı esintilerini yansıtmaktadır.Mabedin duvarları taş ve tuğla ile yapılmıştır. Çatısı, minberi ve son cemaat yeri ahşaptır. Mabedin kıble tarafına ve sağına ikişer, soluna üç pencere açılır. Mabedin mimari bir kıymeti yoktur. Fakat sağındaki tuğla minaresi eskidir. Mabedin dış köşesinde üç yüzlü bir çeşme vardır. Çeşmenin üst kenarlarında çiniler görülür."", 'html': ""<p><b>Selman Ağa Camii</b>, İstanbul'un Üsküdar ilçesinin Mimar Sinan Mahallesi'nde yer alan, Osmanlı Dönemi'nden kalma tarihi bir camidir. II. Beyazıt'ın kapı ağası ve Darüssaade Ağası olan Selman Ağa tarafından yaptırılmıştır. Yapımına 1506 yılında başlanan cami, aynı sene ibadete açılmıştır. Cami mimari olarak Osmanlı esintilerini yansıtmaktadır.</p><p>Mabedin duvarları taş ve tuğla ile yapılmıştır. Çatısı, minberi ve son cemaat yeri ahşaptır. Mabedin kıble tarafına ve sağına ikişer, soluna üç pencere açılır. Mabedin mimari bir kıymeti yoktur. Fakat sağındaki tuğla minaresi eskidir. Mabedin dış köşesinde üç yüzlü bir çeşme vardır. Çeşmenin üst kenarlarında çiniler görülür.</p>""}","{'lon': 29.01579475402832, 'lat': 41.025699615478516}",Uskudar Waterfront,
W261825033,Church of St. Mary of the Mongols,"{'road': 'Tevki Cafer Mektebi Sokağı', 'town': 'Fatih', 'state': 'Marmara Bölgesi', 'suburb': 'Balat Mahallesi', 'country': 'Türkiye', 'postcode': '34087', 'country_code': 'tr'}",3,way/261825033,Q1950180,"religion,churches,interesting_places,eastern_orthodox_churches",,"{'geometry': 'osm', 'attributes': ['osm', 'wikidata']}",https://opentripmap.com/en/card/W261825033,https://en.wikipedia.org/wiki/Church%20of%20Saint%20Mary%20of%20the%20Mongols,https://commons.wikimedia.org/wiki/File:StMaryOfTheMongols20071010_01.jpg,"{'source': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/StMaryOfTheMongols20071010_01.jpg/300px-StMaryOfTheMongols20071010_01.jpg', 'height': 400, 'width': 300}","{'title': 'en:Church of Saint Mary of the Mongols', 'text': 'Saint Mary of the Mongols (full name in Greek: Θεοτόκος Παναγιώτισσα (pr. Theotókos Panaghiótissa, lit. ""All-Holy Theotokos"") or Παναγία Μουχλιώτισσα (pr. Panaghía Muchliótissa); Turkish name: Kanlı Kilise (meaning: Bloody Church), is an Eastern Orthodox church in Istanbul. It is the only remaining Byzantine church of Constantinople that has never been converted to a mosque, always remaining open to the Greek Orthodox Church.', 'html': '<p><b>Saint Mary of the Mongols</b> (full name in Greek: Θεοτόκος Παναγιώτισσα (pr. <i>Theotókos Panaghiótissa</i>, lit. ""All-Holy Theotokos"") or Παναγία Μουχλιώτισσα (pr. <i>Panaghía Muchliótissa</i>); Turkish name: <i>Kanlı Kilise</i> (meaning: <i>Bloody Church</i>), is an Eastern Orthodox church in Istanbul. It is the only remaining Byzantine church of Constantinople that has never been converted to a mosque, always remaining open to the Greek Orthodox Church.</p>'}","{'lon': 28.949026107788086, 'lat': 41.02960205078125}",Balat / Fener,"{'lon_min': 28.948919, 'lon_max': 28.949169, 'lat_min': 41.029527, 'lat_max': 41.029695}"
N269370709,Rumelihisarı,"{'road': 'Yahya Kemal Caddesi', 'town': 'Sarıyer', 'state': 'Marmara Bölgesi', 'suburb': 'Rumeli Hisarı Mahallesi', 'country': 'Türkiye', 'postcode': '34470', 'country_code': 'tr'}",3,node/269370709,Q90801,"fortifications,historic,interesting_places,castles",https://muze.gen.tr/,"{'geometry': 'osm', 'attributes': ['osm', 'wikidata']}",https://opentripmap.com/en/card/N269370709,https://en.wikipedia.org/wiki/Rumelihisar%C4%B1,https://commons.wikimedia.org/wiki/File:Twierdza_Rumeli_Istambu%C5%82_RB1.jpg,"{'source': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Twierdza_Rumeli_Istambu%C5%82_RB1.jpg/400px-Twierdza_Rumeli_Istambu%C5%82_RB1.jpg', 'height': 227, 'width': 400}","{'title': 'en:Rumelihisarı', 'text': 'Rumelihisarı (also known as Rumelian Castle and Roumeli Hissar Castle) or Boğazkesen Castle (meaning ""Strait-Blocker Castle"" or literally ""Throat-Cutter Castle"") is a medieval fortress located in Istanbul, Turkey, on a series of hills on the European banks of the Bosphorus. The fortress also lends its name to the immediate neighborhood around it in the city\'s Sarıyer district.', 'html': '<p><b>Rumelihisarı</b> (also known as <b>Rumelian Castle</b> and <b>Roumeli Hissar Castle</b>) or <b>Boğazkesen Castle</b> (meaning ""Strait-Blocker Castle"" or literally ""Throat-Cutter Castle"") is a medieval fortress located in Istanbul, Turkey, on a series of hills on the European banks of the Bosphorus. The fortress also lends its name to the immediate neighborhood around it in the city\'s Sarıyer district.</p>'}","{'lon': 29.056476593017578, 'lat': 41.084434509277344}",Rumeli Hisari,
